Date,Clicks,Impressions,CTR,Position
2025-11-18,5,421,1.19%,22.7
2025-11-19,11,518,2.12%,25.3
2025-11-20,10,648,1.54%,26.3
2025-11-21,5,491,1.02%,31.1
2025-11-22,3,386,0.78%,28.6
2025-11-23,6,500,1.2%,32.5
2025-11-24,7,546,1.28%,30
2025-11-25,12,577,2.08%,26.9
2025-11-26,9,475,1.89%,27.5
2025-11-27,2,495,0.4%,34.2
2025-11-28,6,356,1.69%,26
2025-11-29,9,376,2.39%,29.9
2025-11-30,6,493,1.22%,33.2
2025-12-01,5,573,0.87%,27.6
2025-12-02,9,603,1.49%,24.2
2025-12-03,8,684,1.17%,20.6
2025-12-04,12,590,2.03%,20.6
2025-12-05,11,449,2.45%,25.9
2025-12-06,8,407,1.97%,28
2025-12-07,4,493,0.81%,32.5
2025-12-08,16,545,2.94%,27.5
2025-12-09,7,549,1.28%,25.4
2025-12-10,15,595,2.52%,24.6
2025-12-11,10,622,1.61%,24.3
2025-12-12,7,632,1.11%,32.6
2025-12-13,5,510,0.98%,23
2025-12-14,4,605,0.66%,32.5
2025-12-15,12,611,1.96%,28.1
2025-12-16,10,617,1.62%,28.8
2025-12-17,13,554,2.35%,23.6
2025-12-18,12,734,1.63%,24.7
2025-12-19,4,544,0.74%,27.5
2025-12-20,7,751,0.93%,29.3
2025-12-21,5,626,0.8%,33.3
2025-12-22,8,727,1.1%,30.4
2025-12-23,5,625,0.8%,29.1
2025-12-24,6,558,1.08%,29.8
2025-12-25,2,524,0.38%,26.3
2025-12-26,7,461,1.52%,27.6
2025-12-27,6,580,1.03%,26.4
2025-12-28,6,601,1%,31.3
2025-12-29,11,697,1.58%,29.4
2025-12-30,15,646,2.32%,27.1
2025-12-31,7,716,0.98%,26
2026-01-01,9,525,1.71%,23.2
2026-01-02,6,552,1.09%,27.5
2026-01-03,11,626,1.76%,23.1
2026-01-04,10,661,1.51%,32.4
2026-01-05,13,707,1.84%,26.3
2026-01-06,20,669,2.99%,25.3
2026-01-07,14,735,1.9%,25.5
2026-01-08,15,730,2.05%,24.6
2026-01-09,7,673,1.04%,28.2
2026-01-10,14,620,2.26%,24.9
2026-01-11,11,611,1.8%,29.2
2026-01-12,15,684,2.19%,24.8
2026-01-13,10,645,1.55%,23.5
2026-01-14,9,708,1.27%,26.2
2026-01-15,8,636,1.26%,22.9
2026-01-16,10,623,1.61%,27.4
2026-01-17,6,540,1.11%,24.1
2026-01-18,5,614,0.81%,35.1
2026-01-19,9,613,1.47%,29.8
2026-01-20,13,846,1.54%,29.5
2026-01-21,13,719,1.81%,23
2026-01-22,12,712,1.69%,21.2
2026-01-23,6,465,1.29%,22.3
2026-01-24,8,581,1.38%,22.8
2026-01-25,4,585,0.68%,30.5
2026-01-26,6,596,1.01%,24.4
2026-01-27,22,868,2.53%,22.4
2026-01-28,14,668,2.1%,26.9
2026-01-29,13,721,1.8%,19
2026-01-30,13,588,2.21%,26.1
2026-01-31,11,567,1.94%,21
2026-02-01,11,642,1.71%,25.9
2026-02-02,7,624,1.12%,21
2026-02-03,14,726,1.93%,12.6
2026-02-04,13,754,1.72%,18.8
2026-02-05,13,816,1.59%,18.9
2026-02-06,9,688,1.31%,24.8
2026-02-07,7,471,1.49%,16.3
2026-02-08,10,648,1.54%,28.6
2026-02-09,10,585,1.71%,24.7
2026-02-10,17,746,2.28%,22.7
2026-02-11,13,803,1.62%,22.7
2026-02-12,14,800,1.75%,19.5
2026-02-13,7,603,1.16%,23.3
2026-02-14,4,653,0.61%,22.7
2026-02-15,4,624,0.64%,23.8
2026-02-16,14,737,1.9%,24.5
2026-02-17,11,731,1.5%,21.7
2026-02-18,13,820,1.59%,24.2
2026-02-19,13,786,1.65%,21.4
2026-02-20,6,595,1.01%,24.2
2026-02-21,7,759,0.92%,23.5
2026-02-22,10,701,1.43%,24.9
2026-02-23,10,695,1.44%,22
2026-02-24,17,736,2.31%,18.9
2026-02-25,8,682,1.17%,23.5
2026-02-26,10,765,1.31%,21.4
2026-02-27,8,631,1.27%,19.4
2026-02-28,11,553,1.99%,21.3
2026-03-01,11,600,1.83%,20.4
2026-03-02,20,634,3.15%,13.6
2026-03-03,15,587,2.56%,14.1
2026-03-04,23,554,4.15%,12.1
2026-03-05,11,595,1.85%,10.5
2026-03-06,10,510,1.96%,12.2
2026-03-07,7,479,1.46%,10.4
2026-03-08,13,525,2.48%,13.1
2026-03-09,20,742,2.7%,15.5
2026-03-10,10,656,1.52%,14.9
2026-03-11,22,710,3.1%,15.9
2026-03-12,19,781,2.43%,16.8
2026-03-13,9,674,1.34%,17.4
2026-03-14,9,650,1.38%,16.8
2026-03-15,9,647,1.39%,16.5
2026-03-16,16,725,2.21%,19
2026-03-17,12,791,1.52%,15.4
2026-03-18,17,884,1.92%,17.3
2026-03-19,8,910,0.88%,16.5
2026-03-20,6,839,0.72%,19.5
2026-03-21,10,938,1.07%,20.5
2026-03-22,11,724,1.52%,15.9
2026-03-23,7,736,0.95%,13.8
2026-03-24,12,644,1.86%,12.8
2026-03-25,13,692,1.88%,14.3
2026-03-26,14,801,1.75%,13.6
2026-03-27,14,590,2.37%,15.7
2026-03-28,11,598,1.84%,15.5
2026-03-29,10,690,1.45%,15.7
2026-03-30,13,629,2.07%,17.3
2026-03-31,14,717,1.95%,17.3
2026-04-01,7,726,0.96%,14.8
2026-04-02,9,770,1.17%,14.3
2026-04-03,11,669,1.64%,15.4
2026-04-04,10,713,1.4%,12.3
2026-04-05,6,702,0.85%,15.9
2026-04-06,13,729,1.78%,15
2026-04-07,12,692,1.73%,15.8
2026-04-08,12,805,1.49%,16.5
2026-04-09,10,829,1.21%,16.2
2026-04-10,6,664,0.9%,17.2
2026-04-11,9,829,1.09%,13
2026-04-12,2,840,0.24%,17.4
2026-04-13,11,812,1.35%,17.3
2026-04-14,16,770,2.08%,15
2026-04-15,10,869,1.15%,18.6
2026-04-16,14,852,1.64%,15.5
2026-04-17,8,724,1.1%,18
2026-04-18,6,735,0.82%,15
2026-04-19,7,688,1.02%,19.7
2026-04-20,17,917,1.85%,19.2
2026-04-21,15,826,1.82%,17.7
2026-04-22,22,643,3.42%,17
2026-04-23,21,784,2.68%,16.1
2026-04-24,21,687,3.06%,17.7
2026-04-25,10,818,1.22%,14.3
2026-04-26,8,797,1%,17.4
2026-04-27,16,791,2.02%,17.5
2026-04-28,24,719,3.34%,18.6
2026-04-29,16,808,1.98%,17.9
2026-04-30,14,750,1.87%,14.3
2026-05-01,10,610,1.64%,14.2
2026-05-02,6,603,1%,14.8
2026-05-03,8,758,1.06%,19
2026-05-04,17,758,2.24%,15.3
2026-05-05,23,684,3.36%,17.9
2026-05-06,18,857,2.1%,17.8
2026-05-07,15,942,1.59%,16.6
2026-05-08,11,726,1.52%,19.7
2026-05-09,12,819,1.47%,16
2026-05-10,11,726,1.52%,20
2026-05-11,15,822,1.82%,20.7
2026-05-12,13,730,1.78%,17.7
2026-05-13,19,1272,1.49%,10.6
2026-05-14,21,745,2.82%,16.3
2026-05-15,30,735,4.08%,17.9
2026-05-16,16,651,2.46%,20.9
2026-05-17,15,657,2.28%,20.4
2026-05-18,9,726,1.24%,16
2026-05-19,10,676,1.48%,17.1
2026-05-20,11,762,1.44%,20.3
2026-05-21,20,934,2.14%,15.5
2026-05-22,5,610,0.82%,15.5
2026-05-23,7,667,1.05%,21.6
2026-05-24,13,783,1.66%,22.3
2026-05-25,14,647,2.16%,18.5
2026-05-26,18,596,3.02%,17.9
2026-05-27,14,689,2.03%,17
2026-05-28,17,784,2.17%,14.3
2026-05-29,14,693,2.02%,17
2026-05-30,9,608,1.48%,18.7
2026-05-31,8,738,1.08%,19.7
2026-06-01,8,646,1.24%,17
2026-06-02,17,625,2.72%,15
2026-06-03,14,655,2.14%,14.6
2026-06-04,13,765,1.7%,14
2026-06-05,10,599,1.67%,16.3
2026-06-06,9,545,1.65%,20.1
2026-06-07,10,740,1.35%,17.4
2026-06-08,2,679,0.29%,19
2026-06-09,18,741,2.43%,17.3
2026-06-10,17,655,2.6%,17.5
2026-06-11,13,675,1.93%,12.8
2026-06-12,11,552,1.99%,18
2026-06-13,10,594,1.68%,18.6
2026-06-14,10,682,1.47%,19.4
2026-06-15,10,718,1.39%,19
2026-06-16,12,739,1.62%,17.8
2026-06-17,15,720,2.08%,18.7
2026-06-18,17,785,2.17%,14.9
2026-06-19,8,579,1.38%,17.4
2026-06-20,4,792,0.51%,20.6
2026-06-21,9,629,1.43%,27.5
2026-06-22,6,574,1.05%,21.2
2026-06-23,17,638,2.66%,20
2026-06-24,17,650,2.62%,19.9
2026-06-25,6,692,0.87%,19.6
2026-06-26,11,531,2.07%,25.4
2026-06-27,3,491,0.61%,29.4
2026-06-28,5,564,0.89%,27
2026-06-29,6,665,0.9%,22.7
2026-06-30,16,496,3.23%,22.8
2026-07-01,9,623,1.44%,24.5
2026-07-02,16,682,2.35%,21.9
2026-07-03,16,541,2.96%,28.3
2026-07-04,0,491,0%,29.1
2026-07-05,5,624,0.8%,31.4
2026-07-06,8,743,1.08%,24.5
2026-07-07,12,637,1.88%,25.5
